seq_1|2557 #61d2ff ccrB2
seq_3|2082 #61d2ff ccrB2
seq_5|1355 #61d2ff ccrB2
seq_11|297 #468bfa ccrB3
seq_12|293 #030bfc ccrB4
seq_15|249 #61d2ff ccrB2
seq_17|188 #61d2ff ccrB2
seq_23|57 #468bfa ccrB3
seq_24|57 #61d2ff ccrB2
seq_33|39 #61d2ff ccrB2
seq_37|34 #030bfc ccrB4
seq_41|32 #030bfc ccrB4
seq_42|31 #61d2ff ccrB2
seq_43|29 #63ff7d ccrB1
seq_44|25 #61d2ff ccrB2
seq_48|18 #030bfc ccrB4
seq_57|14 #63ff7d ccrB1
seq_58|14 #468bfa ccrB3
seq_59|14 #61d2ff ccrB2
seq_66|13 #61d2ff ccrB2
seq_67|13 #61d2ff ccrB2
seq_69|13 #63ff7d ccrB1
seq_71|12 #468bfa ccrB3
seq_72|12 #468bfa ccrB3
seq_77|11 #61d2ff ccrB2
seq_78|11 #468bfa ccrB3
seq_79|11 #030bfc ccrB4
seq_80|11 #61d2ff ccrB2
seq_83|11 #23db64 ccrB6
seq_86|10 #61d2ff ccrB2
seq_88|10 #030bfc ccrB4
seq_93|10 #468bfa ccrB3
seq_94|10 #468bfa ccrB3
seq_98|9 #23db64 ccrB6
seq_101|9 #23db64 ccrB6
seq_102|9 #61d2ff ccrB2
seq_103|9 #61d2ff ccrB2
seq_105|9 #61d2ff ccrB2
seq_107|8 #61d2ff ccrB2
seq_109|8 #030bfc ccrB4
seq_110|8 #468bfa ccrB3
seq_111|8 #61d2ff ccrB2
seq_112|8 #61d2ff ccrB2
seq_115|8 #468bfa ccrB3
seq_118|7 #63ff7d ccrB1
seq_122|7 #61d2ff ccrB2
seq_123|7 #009133 ccrB7
seq_125|7 #468bfa ccrB3
seq_128|7 #61d2ff ccrB2
seq_129|7 #61d2ff ccrB2
seq_131|7 #61d2ff ccrB2
seq_132|7 #61d2ff ccrB2
seq_135|7 #030bfc ccrB4
seq_137|7 #030bfc ccrB4
seq_142|6 #030bfc ccrB4
seq_143|6 #030bfc ccrB4
seq_144|6 #030bfc ccrB4
seq_145|6 #61d2ff ccrB2
seq_147|6 #61d2ff ccrB2
seq_150|6 #61d2ff ccrB2
seq_152|6 #030bfc ccrB4
seq_157|6 #61d2ff ccrB2
seq_161|6 #61d2ff ccrB2
seq_163|6 #61d2ff ccrB2
seq_166|6 #030bfc ccrB4
